,title,rating_x,rating_y,total_votes,encoded_title
0,Planet Earth II,9.5,8.9,110000,tt5491994
1,Planet Earth,9.4,8.772727272727273,178000,tt0795176
2,Breaking Bad,9.4,9.025806451612903,1700000,tt0903747
3,Band of Brothers,9.4,9.09,414000,tt0185906
4,Chernobyl,9.3,9.58,650000,tt7366338
5,The Wire,9.3,8.668333333333333,317000,tt0306414
6,Blue Planet II,9.3,8.8,38000,tt6769208
7,Cosmos: A Spacetime Odyssey,9.2,9.107692307692307,118000,tt2395695
8,Our Planet,9.2,9.0125,40000,tt9253866
9,Avatar: The Last Airbender,9.2,8.703225806451613,286000,tt0417299
10,Cosmos,9.2,8.930769230769231,40000,tt0081846
11,The Sopranos,9.2,8.696511627906977,360000,tt0141842
12,Game of Thrones,9.2,8.832876712328767,1900000,tt0944947
13,Rick and Morty,9.1,8.336538461538462,458000,tt2861424
14,The World at War,9.1,8.680769230769231,25000,tt0071075
15,The Last Dance,9.1,9.190000000000001,105000,tt8420184
16,Life,9.1,8.5,40000,tt1533395
17,Fullmetal Alchemist: Brotherhood,9.0,8.381159420289855,150000,tt1355642
18,Sherlock,9.0,8.773333333333333,876000,tt1475582
19,Arcane,9.0,8.309999999999999,148000,tt11126994
20,The Vietnam War,9.0,8.61,23000,tt1877514
21,Scam 1992: The Harshad Mehta Story,9.0,9.26,136000,tt12392504
22,The Beatles: Get Back,9.0,9.299999999999999,17000,tt9735318
23,The Twilight Zone,9.0,7.475641025641026,79000,tt0052520
24,The Blue Planet,9.0,8.1625,38000,tt0296310
25,Batman: The Animated Series,9.0,8.085882352941177,97000,tt0103359
26,Human Planet,8.9,8.575,26000,tt1806234
27,Firefly,8.9,8.735714285714286,257000,tt0303461
28,Frozen Planet,8.9,8.08,30000,tt2092588
29,Persona,8.9,8.816666666666666,38000,tt7920978
30,Clarkson's Farm,8.9,7.822222222222223,30000,tt10541088
31,Death Note,8.9,8.202702702702704,289000,tt0877057
32,Dekalog,8.9,8.129999999999999,25000,tt0092337
33,True Detective,8.9,8.541666666666666,536000,tt2356777
34,Attack on Titan,8.9,9.337974683544305,309000,tt2560140
35,Cowboy Bebop,8.9,8.292307692307691,109000,tt0213338
36,The Civil War,8.9,8.600000000000001,16000,tt0098769
37,Hunter x Hunter,8.9,8.291891891891892,82000,tt2098220
38,Fargo,8.9,8.446341463414635,356000,tt2802850
39,The Office,8.9,8.21063829787234,512000,tt0386676
40,When They See Us,8.8,9.05,111000,tt7137906
41,Africa,8.8,8.428571428571429,16000,tt2571774
42,Apocalypse: The Second World War,8.8,8.683333333333332,12000,tt1508238
43,Only Fools and Horses,8.8,8.4375,50000,tt0081912
44,TVF Pitchers,8.8,9.14,65000,tt4742876
45,Last Week Tonight with John Oliver,8.8,8.107916666666666,85000,tt3530232
46,Gravity Falls,8.8,8.668292682926829,92000,tt1865718
47,Seinfeld,8.8,8.26220930232558,293000,tt0098904
48,Das Boot,8.8,8.766666666666666,29000,tt0081834
49,Nathan for You,8.8,8.675,25000,tt2297757
50,Monty Python's Flying Circus,8.8,8.171111111111111,72000,tt0063929
51,1883,8.8,5.3,23000,tt13991232
52,Friends,8.8,8.420851063829787,932000,tt0108778
53,Pride and Prejudice,8.8,8.566666666666666,82000,tt0112130
54,Black Mirror,8.7,7.863636363636363,502000,tt2085059
55,Twin Peaks,8.7,8.33,189000,tt0098936
56,Over the Garden Wall,8.7,8.540000000000001,50000,tt3718778
57,Kota Factory,8.7,8.9,66000,tt9432978
58,Succession,8.7,8.789655172413793,113000,tt7660850
59,Fawlty Towers,8.7,8.816666666666666,90000,tt0072500
60,It's Always Sunny in Philadelphia,8.7,8.313939393939394,211000,tt0472954
61,Blackadder Goes Forth,8.7,8.766666666666667,51000,tt0096548
62,Narcos,8.7,8.743333333333334,396000,tt2707408
63,Better Call Saul,8.7,7.0285714285714285,377000,tt3032476
64,Ted Lasso,8.7,8.527272727272727,162000,tt10986410
65,Freaks and Geeks,8.7,8.783333333333333,138000,tt0193676
66,Chappelle's Show,8.7,7.978787878787879,61000,tt0353049
67,The West Wing,8.7,8.298709677419355,72000,tt0200276
68,Peaky Blinders,8.7,7.338888888888889,450000,tt2442560
69,The Mandalorian,8.7,5.825,398000,tt8111088
70,Steins;Gate,8.7,8.580769230769231,55000,tt1910272
71,Dark,8.7,9.080769230769231,343000,tt5753856
72,BoJack Horseman,8.7,8.46883116883117,138000,tt3398228
73,One Punch Man,8.7,8.592,142000,tt4508902
74,Dragon Ball Z,8.7,7.1893470790378,76000,tt0121220
75,Curb Your Enthusiasm,8.7,8.373636363636363,121000,tt0264235
76,Vinland Saga,8.7,9.0625,27000,tt10233448
77,Rome,8.7,8.486363636363636,165000,tt0384766
78,Dragon Ball Z,8.7,7.493501805054151,123000,tt0214341
79,"I, Claudius",8.7,8.653846153846153,17000,tt0074006
80,Fleabag,8.7,8.558333333333334,132000,tt5687612
81,Oz,8.7,8.448214285714286,96000,tt0118421
82,Invincible,8.7,5.825,105000,tt6741278
83,Leyla and Mecnun,8.7,8.58655462184874,93000,tt1831164
84,Arrested Development,8.7,8.154761904761905,293000,tt0367279
85,Six Feet Under,8.6,8.471428571428572,130000,tt0248654
86,South Park,8.6,8.046945337620578,353000,tt0121955
87,The Adventures of Sherlock Holmes,8.6,8.184615384615386,22000,tt0086661
88,Stranger Things,8.6,6.370588235294117,959000,tt4574334
89,The Marvelous Mrs. Maisel,8.6,6.555882352941176,98000,tt5788792
90,The Boys,8.6,5.783333333333334,342000,tt1190634
91,The Thick of It,8.6,8.204761904761906,23000,tt0459159
92,Battlestar Galactica,8.6,8.127027027027026,161000,tt0407362
93,Justice League Unlimited,8.6,8.192307692307692,14000,tt6025022
94,House of Cards,8.6,8.021917808219179,489000,tt1856010
95,House,8.6,8.497159090909092,442000,tt0412142
96,One Piece,8.6,8.29197224975223,102000,tt0388629
97,Berserk,8.6,8.12,35000,tt0318871
98,The Simpsons,8.6,7.075239398084816,389000,tt0096697
99,The Shield,8.6,8.202247191011235,78000,tt0286486
100,Aspirants,8.6,9.5,291000,tt14392248
101,Mahabharat,8.6,6.680851063829787,17000,tt0158417
102,The Crown,8.6,6.877999999999999,185000,tt4786824
103,The Return of Sherlock Holmes,8.6,8.0,12000,tt0090509
104,The Jinx: The Life and Deaths of Robert Durst,8.6,8.549999999999999,44000,tt4299972
105,Line of Duty,8.6,8.455555555555556,53000,tt2303687
106,Downton Abbey,8.6,8.425,191000,tt1606375
107,The Grand Tour,8.6,8.402380952380952,71000,tt5712554
108,Ramayan,8.6,8.4,19000,tt0268093
109,It's a Sin,8.6,8.9,27000,tt9140342
110,Star Trek: The Next Generation,8.6,7.3880681818181815,113000,tt0092455
111,Deadwood,8.6,8.452777777777778,102000,tt0348914
112,Top Gear,8.6,6.895583596214511,114000,tt1628033
113,Atlanta,8.6,4.485,61000,tt4288182
114,Dopesick,8.6,8.6625,36000,tt9174558
115,Lonesome Dove,8.6,8.575,22000,tt0096639
116,Haikyuu!!,8.6,8.868181818181817,20000,tt3398540
117,Young Justice,8.6,8.006122448979593,38000,tt1641384
118,Sarabhai V/S Sarabhai,8.6,8.531645569620252,16000,tt1518542
119,Mad Men,8.6,8.478260869565217,227000,tt0804503
120,The Bridge,8.6,8.178947368421053,66000,tt1733785
121,Code Geass,8.6,8.498,62000,tt0994314
122,Formula 1: Drive to Survive,8.6,7.641935483870968,32000,tt8289930
123,Blackadder II,8.6,8.383333333333333,45000,tt0088484
124,Monster,8.6,8.298666666666666,26000,tt0434706
125,Peep Show,8.6,8.207407407407407,58000,tt0387764
126,The X-Files,8.6,7.949308755760368,214000,tt0106179
127,Parks and Recreation,8.6,8.192741935483872,242000,tt1266020
128,Demon Slayer: Kimetsu no Yaiba,8.6,8.434883720930232,72000,tt9335498
129,Yellowstone,8.6,8.543589743589743,95000,tt4236770
130,Gomorrah,8.6,8.389655172413793,37000,tt2049116
131,Friday Night Lights,8.6,8.24736842105263,63000,tt0758745
132,Mindhunter,8.6,8.442105263157895,259000,tt5290382
133,Battlestar Galactica,8.6,8.5,73000,tt0314979
134,The Bureau,8.6,8.134,10000,tt4063800
135,Anne with an E,8.6,8.992592592592592,49000,tt5421602
136,Father Ted,8.6,8.42,39000,tt0111958
137,Jujutsu Kaisen,8.6,8.775,41000,tt12343534
138,Dexter,8.5,8.560416666666667,704000,tt0773262
139,The Haunting of Hill House,8.5,8.7,220000,tt6763664
140,The Bugs Bunny Show,8.5,7.110256410256411,33000,tt0053488
141,Westworld,8.5,6.636111111111111,466000,tt0475784
142,Blackadder the Third,8.5,8.383333333333333,43000,tt0092324
143,Daredevil,8.5,8.976923076923077,405000,tt3322312
144,This Is Us,8.5,8.396842105263158,125000,tt5555260
145,Panchayat,8.5,8.5125,48000,tt12004706
146,Gullak,8.5,9.15,11000,tt10530900
147,Archer,8.5,7.608148148148148,149000,tt1486217
148,The Queen's Gambit,8.5,8.62857142857143,387000,tt10048342
149,The Newsroom,8.5,8.604,112000,tt1870479
150,Crash Landing on You,8.5,8.65263157894737,22000,tt10850932
151,Yes Minister,8.5,8.363636363636363,14000,tt0080306
152,Rurouni Kenshin: Trust and Betrayal,8.5,8.925,14000,tt0203082
153,Behzat Ç.: Bir Ankara Polisiyesi,8.5,8.120952380952382,29000,tt1795096
154,Yeh Meri Family,8.5,9.085714285714285,23000,tt8595766
155,Poirot,8.5,7.7057142857142855,43000,tt0094525
156,QI,8.5,6.993114754098361,31000,tt0380136
157,Through the Wormhole,8.5,7.585483870967742,18000,tt1513168
158,The Family Man,8.5,8.91578947368421,80000,tt9544034
159,Justified,8.5,8.558974358974359,95000,tt1489428
160,Making a Murderer,8.5,8.24,92000,tt5189670
161,Mr. Bean,8.5,8.68,112000,tt0096657
162,What We Do in the Shadows,8.5,8.093548387096774,61000,tt7908628
163,North & South,8.5,8.325,32000,tt0417349
164,Naruto: Shippûden,8.5,7.3101593625498005,109000,tt0988824
165,Spaced,8.5,8.357142857142858,53000,tt0187664
166,Justice League,8.5,8.159615384615385,45000,tt0275137
167,Neon Genesis Evangelion,8.5,8.165384615384616,62000,tt0112159
168,Samurai Champloo,8.5,8.196153846153846,46000,tt0423731
169,Boardwalk Empire,8.5,8.36140350877193,183000,tt0979432
170,From the Earth to the Moon,8.5,8.0,12000,tt0120570
171,Long Way Round,8.5,7.659999999999999,14000,tt0403778
172,Pose,8.5,8.711538461538462,27000,tt7562112
173,The Eric Andre Show,8.5,8.373076923076923,17000,tt2244495
174,Mob Psycho 100,8.5,8.656,25000,tt5897304
175,Twin Peaks,8.5,8.672222222222222,64000,tt4093826
176,Dragon Ball,8.5,7.618300653594771,54000,tt0088509
177,Adventure Time,8.5,8.073356401384082,87000,tt1305826
178,Flight of the Conchords,8.5,8.331818181818182,59000,tt0863046
179,Cobra Kai,8.5,8.55,156000,tt7221388
180,Dragon Ball,8.5,7.632679738562091,58000,tt0280249
181,"Yes, Prime Minister",8.5,8.43125,11000,tt0086831
182,Letterkenny,8.5,8.344776119402985,20000,tt4647692
183,Mr. Robot,8.5,9.011111111111111,367000,tt4158110
184,The IT Crowd,8.5,8.184,145000,tt0487831
185,Mystery Science Theater 3000,8.5,7.49748743718593,24000,tt0094517
186,Black Sun,8.5,8.74,11000,tt6108262
187,Coupling,8.5,8.528571428571428,45000,tt0237123
188,Alfred Hitchcock Presents,8.5,6.952985074626866,17000,tt0047708
189,Detectorists,8.5,8.289473684210526,13000,tt4082744
190,Brass Eye,8.5,8.342857142857143,10000,tt0118273
191,Endeavour,8.5,8.342424242424244,23000,tt2701582
192,Homicide: Life on the Street,8.5,8.105737704918033,12000,tt0106028
193,Fullmetal Alchemist,8.5,8.017999999999999,68000,tt0421357
194,Skam,8.5,8.327906976744186,32000,tt5288312
195,Doctor Who,8.5,7.541206030150754,215000,tt0436992
196,Silicon Valley,8.5,8.252830188679244,140000,tt2575988
197,The Expanse,8.5,8.562903225806451,140000,tt3230854
198,Impractical Jokers,8.5,8.322173913043478,38000,tt2100976
199,Louie,8.5,8.278688524590164,77000,tt1492966
200,Generation Kill,8.5,8.385714285714286,51000,tt0995832
201,Mr Inbetween,8.5,8.473076923076924,14000,tt7472896
202,Hannibal,8.5,8.835897435897436,244000,tt2243973
203,Ezel,8.5,8.881690140845071,31000,tt1534360
204,Shameless,8.5,8.368656716417911,225000,tt1586680
205,Spartacus: Gods of the Arena,8.5,8.533333333333333,134000,tt1758429
206,The Office,8.4,8.485714285714286,108000,tt0290978
207,Samurai Jack,8.4,8.643548387096773,51000,tt0278238
208,The Night Of,8.4,8.75,140000,tt2401256
209,Chef's Table,8.4,8.103333333333333,15000,tt4295140
210,Whose Line Is It Anyway?,8.4,7.652727272727272,42000,tt0163507
211,I'm Alan Partridge,8.4,8.591666666666667,20000,tt0129690
212,Sons of Anarchy,8.4,8.622826086956522,283000,tt1124373
213,Spartacus,8.4,8.63939393939394,235000,tt1442449
214,Big Little Lies,8.4,8.492857142857144,183000,tt3920596
215,My Brilliant Friend,8.4,6.82,12000,tt7278862
216,Your Lie in April,8.4,8.469565217391304,25000,tt3895150
217,Black Books,8.4,8.088888888888889,57000,tt0262150
218,Mare of Easttown,8.4,8.614285714285714,132000,tt10155688
219,The Defiant Ones,8.4,8.675,14000,tt6958022
220,Schitt's Creek,8.4,8.14625,107000,tt3526078
221,Erased,8.4,8.515384615384615,40000,tt5249462
222,Ethos,8.4,8.2875,25000,tt11301642
223,Harley Quinn,8.4,8.511538461538462,22000,tt7658402
224,John Adams,8.4,8.257142857142856,31000,tt0472027
225,It's Okay to Not Be Okay,8.4,9.13125,19000,tt12451520
226,The Knick,8.4,8.535,47000,tt2937900
227,Delhi Crime,8.4,7.3374999999999995,18000,tt9398466
228,Dr. Horrible's Sing-Along Blog,8.4,8.700000000000001,43000,tt1227926
229,Inside No. 9,8.4,7.3769230769230765,15000,tt2674806
230,"Love, Death & Robots",8.4,7.296153846153846,131000,tt9561862
231,Generation War,8.4,8.266666666666667,29000,tt1883092
232,Community,8.4,8.27,246000,tt1439629
233,The New Batman Adventures,8.4,7.8125,17000,tt0118266
234,Horace and Pete,8.4,8.760000000000002,16000,tt5425186
235,The Punisher,8.4,8.65,212000,tt5675620
236,Regular Show,8.4,8.711836734693877,38000,tt1710308
237,The Venture Bros.,8.4,8.493023255813954,25000,tt0417373
238,Futurama,8.4,7.837142857142857,226000,tt0149460
239,The Prisoner,8.4,8.076470588235294,14000,tt0061287
240,Jesus of Nazareth,8.4,8.725,22000,tt0075520
241,Wentworth,8.4,9.001,21000,tt2433738
242,Clannad: After Story,8.4,8.388,10000,tt1298820
243,Feud: Bette and Joan,8.4,8.775,19000,tt1984119
244,Flames,8.4,8.95,28000,tt7927936
245,After Life,8.4,8.25,115000,tt8398600
246,Scenes from a Marriage,8.4,8.700000000000001,16000,tt0070644
247,X-Men: The Animated Series,8.4,7.705263157894737,41000,tt0103584
248,Luther,8.4,8.4,131000,tt1474684
